,name,alias,ra,dec,refs,discovery_date,hasPhot,hasSpec,json_path,z
64,2018iih,"['2018iih', 'ATLAS18yzs', 'Gaia18dpo', 'ZTF18acaqdaa', 'AT2018iih']",262d00m58.8518604s,30d41m31.5128184s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2018TNSTR1750....1T', '2020TNSCR2246....1D']",58431.19599537037,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2018iih.json,0.212
65,PTF09axc,"['PTF-09axc', 'PTF09axc']",223d18m15.9s,22d14m32.2s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014ApJ...793...38A', '2011ApJ...737..103S', '2010ApJ...721..777A', '2017ApJ...835...64G', '2012PASP..124..668Y', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W']",2009-06-20 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/PTF09axc.json,0.1146
66,2022wtn,"['ZTF22abkfhua', '2022wtn', 'PS22jwq', 'ATLAS22bikj', 'AT2022wtn']",350d50m56.7672s,10d41m07.8108s,"['2022TNSTR2885....1F', '2024MNRAS.527.2452M', '2022TNSCR3389....1F']",59854.255,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2022wtn.json,0.0491
67,2018hyz,"['ZTF18acpdvos', '2018hyz', 'ASASSN-18zj', 'ATLAS18bafs', 'AT2018hyz']",151d42m43.125s,1d41m33.96s,"['2022ApJ...938...28C', '2020MNRAS.497.1925G', '2020MNRAS.tmp.2047S', '2016A&A...594A..13P', '2017ApJ...835...64G', '2020MNRAS.498.4119S', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2018TNSTR1708....1B', '2018TNSCR1764....1A']",2018-10-14 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2018hyz.json,0.0457
68,UGC 01791,['UGC 01791'],34d58m22.8s,28d14m52.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G']",,False,False,/home/nfranz/radio-ecle/ecle-otter/UGC-01791.json,0.015881
69,2019bhf,"['2019bhf', 'ZTF19aakswrb', 'AT2019bhf']",227d18m59.6304s,16d14m22.524s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2019TNSTR.299....1F', '2020TNSCR2246....1D']",58526.545,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2019bhf.json,0.1206
70,2MASX J0249,['2MASX J0249'],42d19m19.2s,-4d12m54s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2007A&A...462L..49E', '2017ApJ...835...64G']",2006-07-14 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/2MASX-J0249.json,0.0186
71,2022dsb,"['ZTF22aadghqe', '2022dsb', 'ATLAS22iav', 'ASASSN-22cs', 'AT2022dsb']",235d35m26.27736s,-22d40m14.08764s,"['2022TNSCR.584....1F', '2024MNRAS.527.2452M', '2022TNSTR.559....1S']",59639.56998842592,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2022dsb.json,0.0234
72,2018zr,"['2018zr', 'ATLAS18nej', 'AT2018zr (PS18kh)', 'AT2018zr', 'PS18kh']",119d13m37.95s,34d15m43.6s,"['2018arXiv180902608V', '2018arXiv180802890H', '2016A&A...594A..13P', '2011ApJ...737..103S', 'MAST', '2017ApJ...835...64G', 'ASAS-SN Supernovae', '2019ApJ...880..120H', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2018TNSTR.296....1C', '2020TNSCR2246....1D']",2018-02-07 00:00:00.000,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2018zr.json,0.074
73,AT2018bcb,['AT2018bcb'],340d55m43.065s,-16d59m08.49s,"['2020MNRAS.494.2538N', 'VLASS 1.2', 'VLASS 2.2', 'WISE']",2458235.62,True,False,/home/nfranz/radio-ecle/ecle-otter/AT2018bcb.json,0.1192
