name,day,date,date_format,array_config,filter,filter_eff,filter_eff_units,flux,flux_err,flux_unit,upperlimit,reducer,source,use_this,comments
SDSS_J0748,2017 June 10,57914.71674,mjd,C,C (IF 1-8),4.999,GHz,71.6,20.6,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,2017 June 10,57914.71674,mjd,C,C (IF 9-16),7.099,GHz,46.8,15.7,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,2017 June 10,57914.71674,mjd,C,C (all_3bit),6.199,GHz,58.9,12.2,uJy,FALSE,Kate with pwkit,17A-368,FALSE,
SDSS_J0748,2017 June 10,57914.71674,mjd,C,X (IF 1-8),8.549,GHz,65.4,18.7,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,2017 June 10,57914.71674,mjd,C,X (IF 9-16),10.999,GHz,36,10.9,uJy,FALSE,Kate with pwkit,17A-368,TRUE,
SDSS_J0748,2017 June 10,57914.71674,mjd,C,X (all),9.774,GHz,49.3,12.5,uJy,FALSE,Kate with pwkit,17A-368,FALSE,
SDSS_J0748,2019-05-16 18:09:36,58619.75666,mjd,B,S,3,GHz,0.4201785007,0,mJy,TRUE,VLASS 1.2,VLASS 1.2,TRUE,
SDSS_J0748,2021-11-24 9:56:48,59542.41444,mjd,B,S,3,GHz,0.3185967719,0,mJy,TRUE,VLASS 2.2,VLASS 2.2,TRUE,
SDSS_J0807,2017-10-06 11:18:25,58032.47113,mjd,B,S,3,GHz,0.3346679678,0,mJy,TRUE,VLASS 1.1,VLASS 1.1,TRUE,
SDSS_J0807,2020-08-18 17:12:16,59079.71685,mjd,B,S,3,GHz,0.5191505766,0.1704779853,mJy,FALSE,VLASS 2.1,VLASS 2.1,TRUE,
SDSS_J0807,2023-01-29 9:32:29,59973.39756,mjd,B,S,3,GHz,0.3618062291,0,mJy,TRUE,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J0938,2016 March 12,57459.04178,mjd,C,C (IF 1-8),4.999,GHz,1092.4,28.3,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J0938,2016 March 12,57459.04178,mjd,C,C (IF 9-16),7.099,GHz,745.3,25.5,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J0938,2016 March 12,57459.04178,mjd,C,C (all_8bit),5.957,GHz,926.1,40,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,L1,1.255,GHz,3421.8,196.3,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,L2,1.644,GHz,2526.6,130.9,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,L (all),1.45,GHz,2752.3,106.7,uJy,FALSE,VLA pipeline (Older Version),17A-368,FALSE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,S (IF 1-8),2.599,GHz,1629.1,159.7,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,S (IF 9-16),3.399,GHz,1191.9,141.7,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,S (all),2.999,GHz,1451.1,157.9,uJy,FALSE,VLA pipeline (Older Version),17A-368,FALSE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,C (IF 1-8),4.999,GHz,970.6,58.5,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,C (IF 9-16),7.099,GHz,589.7,37.9,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,C (all_3bit),6.199,GHz,815.1,51.4,uJy,FALSE,VLA pipeline (Older Version),17A-368,FALSE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,X (IF 1-8),8.549,GHz,479.3,35.3,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,X (IF 9-16),10.999,GHz,295.4,40.4,uJy,FALSE,VLA pipeline (Older Version),17A-368,TRUE,
SDSS_J0938,2017 June 7,57911.79545,mjd,C,X (all),9.774,GHz,424.1,38.5,uJy,FALSE,VLA pipeline (Older Version),17A-368,FALSE,
SDSS_J0938,2017-10-28 11:04:37,58054.46153,mjd,B,S,3,GHz,10.55102234,1.082563249,mJy,FALSE,VLASS 1.1,VLASS 1.1,TRUE,
SDSS_J0938,2023-01-17 10:47:42,59961.44979,mjd,B,S,3,GHz,1.283251145,0.1256878074,mJy,FALSE,VLASS 3.1,VLASS 3.1,TRUE,
SDSS_J0938,2020-10-03 18:33:37,59125.77335,mjd,B,S,3,GHz,1.11433993,0.140092856,mJy,FALSE,VLASS 2.1,VLASS 2.1,TRUE,
SDSS_J0952,2016 March 12,57459.29113,mjd,C,C (IF 1-8),4.999,GHz,58.7,12.9,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J0952,2016 March 12,57459.29113,mjd,C,C (IF 9-16),7.099,GHz,34.7,8.5,uJy,FALSE,Kate with pwkit,15B-247,TRUE,
SDSS_J0952,2016 March 12,57459.29113,mjd,C,C (all_8bit),5.957,GHz,49.5,5.2,uJy,FALSE,Kate with pwkit,15B-247,FALSE,
