,asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
0,661430094425,2458605.6437752,0.41510049809765787,0.03285185620534169,17.354682486011704,0.08602384125598268,18.361240828379827,1.49,bt156034,bt,G,g
1,661430094425,2458850.8430481,0.4830558916655916,0.04907724407402737,17.190072163738723,0.11043200473409508,17.925440193962025,1.48,bD102065,bD,G,g
2,661430094425,2458572.7011311,0.3596635250184928,0.032699832081964565,17.51032463120005,0.0988237429398444,18.366276805178583,1.51,bt147001,bt,G,g
3,661430094425,2458079.8878798,0.4087943789554034,0.028357872410468048,17.37130333355949,0.0754016589904409,18.52095650100513,2.11,bt017936,bt,G,g
4,661430094425,2458484.9133978,0.3374764675462669,0.031985730951930254,17.579456885817347,0.10302080946141022,18.390249911805526,1.55,bt124819,bt,G,g
5,661430094425,2458076.8958826,0.3450531321212982,0.023008888518133187,17.55535068742202,0.07248060980927916,18.747901511761054,1.64,bt016911,bt,B,g
6,661430094425,2458170.6540724,0.3284480941081062,0.029671366725061002,17.608898756976274,0.09819355371294419,18.47179673322324,1.50,bt048967,bt,G,g
7,661430094425,2458964.735641,0.24336930770002863,0.13631015329790996,16.816320095901244,99.999,16.816320095901244,1.53,bD123864,bD,B,g
8,661430094425,2458165.6699892,0.42983763164197086,0.05613992064407568,17.316804535651112,0.14196442652285665,17.77946112542469,1.47,bt047893,bt,B,g
9,661430094425,2459332.7772496,-0.002553929456569015,0.10896504119451203,17.059422643001476,99.999,17.059422643001476,1.66,bD228412,bD,B,g
10,661430094425,2459222.8519624,0.34355410592649993,0.03545424696920963,17.560077764026992,0.11217221480326849,18.278469947424572,1.48,bt312157,bt,G,g
11,661430094425,2459163.9359735,0.2699336347371781,0.048499374544342604,17.821923115682974,0.19529508248414387,17.938300266673235,1.54,bt290226,bt,B,g
12,661430094425,2459173.778471,0.29124938951954066,0.03767739540297222,17.73940306297878,0.14061382488376648,18.212438429299176,1.49,bt294341,bt,G,g
13,661430094425,2458128.7590032,0.3405442369962692,0.022172554572192672,17.569631784409843,0.07077084319041238,18.78810128024668,1.62,bt035211,bt,G,g
14,661430094425,2459189.07135,0.4326842438582381,0.05045321337135519,17.309637920511513,0.12674473382177973,17.89541853213545,2.01,bD190907,bD,G,g
15,661430094425,2458966.7014789,0.2951866072194769,0.04579387563330281,17.724823998742657,0.16862537309600825,18.00062211056516,1.51,bt244414,bt,G,g
16,661430094425,2458507.815154,0.23209554549014563,0.0552777334647185,17.79626504270962,99.999,17.79626504270962,1.55,bt130839,bt,G,g
