,asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
0,661426517954,2458591.6428484,3.7374732341067864,0.14968238674126585,14.968620394416801,0.043531615149287,16.71471386260712,1.61,bk204324,bk,G,g
1,661426517954,2459199.1492836,2.9006184629683376,0.029351134234862946,15.243839104760896,0.010998829106388816,18.483578389866043,1.39,bC194117,bC,G,g
2,661426517954,2458775.9915822,3.0541716668364454,0.06629101504424074,15.187832012432343,0.02359246925032225,17.599003939040248,1.54,bs194285,bs,G,g
3,661426517954,2458250.611956,3.203152412900894,0.03120645622491593,15.136121612723032,0.010589586988562863,18.417029477935444,1.57,bk081605,bk,G,g
4,661426517954,2458171.8089828,2.9211308234372537,0.025757880951872973,15.236188103843027,0.009584540501295985,18.625365282343346,1.49,bs049358,bs,G,g
5,661426517954,2459226.745266,3.3409172031226495,0.03732198964301682,15.09040134030492,0.012142587672882274,18.222728641390653,1.49,bk343916,bk,G,g
6,661426517954,2458571.6485918,3.283738221519409,0.04397760519687549,15.109144302230336,0.014557111911647536,18.044561671100567,1.41,bG060519,bG,G,g
7,661426517954,2458812.8522155,3.1095026309719165,0.07054150192176904,15.168338300758993,0.02465845978177362,17.531528856109233,1.69,bk284149,bk,G,g
8,661426517954,2459268.6342003,3.211714714862865,0.06509377106567109,15.133223218548437,0.022030007415352326,17.618792031006162,1.52,bk357230,bk,G,g
9,661426517954,2458893.8922867,2.961275552502648,0.051090942712888714,15.221368569223205,0.01875328127996796,17.88178082091247,1.53,bs233149,bs,G,g
10,661426517954,2459263.6910637,3.3511291335709394,0.038031534326340925,15.087087713752892,0.01233573002414017,18.20228099459863,1.44,bk355437,bk,G,g
11,661426517954,2458115.7822088,3.229428034167385,0.03244840135897959,15.127251594783358,0.01092143906103332,18.37465734843758,1.46,bk033736,bk,G,g
12,661426517954,2458183.3850932,3.3274399846297182,0.0493030615926807,15.094790044619577,0.016105560006316362,17.920455889743895,1.51,bo032818,bo,G,g
13,661426517954,2458593.769789,2.7723016580833963,0.10393723695012265,15.292964410505341,0.040751430215060176,17.11071269286855,1.55,bs153254,bs,B,g
14,661426517954,2458195.7322376,3.2306502201678056,0.031127965911487577,15.126840772637497,0.010473045130279477,18.419763755951696,1.50,bk059459,bk,G,g
15,661426517954,2459203.8198478,3.579294199481594,0.03852098719912465,15.015572130735617,0.011698015286360762,18.188397090178633,1.59,bG188916,bG,G,g
16,661426517954,2458217.7137816,3.2882293330275085,0.033763962597743745,15.107660374294742,0.011161009658527551,18.331507085178977,1.53,bk068527,bk,G,g
17,661426517954,2458925.6727962,3.3319457493622173,0.04276797289569076,15.093320818224793,0.013951885942150079,18.074843945998833,1.40,bG173348,bG,G,g
18,661426517954,2458802.1312454,3.041932254919578,0.057517184060739475,15.192191777511653,0.020552291467300803,17.753146572421773,1.45,bC089097,bC,G,g
19,661426517954,2458183.6984271,3.1836980377723307,0.06222960929562978,15.142735947881443,0.021246009786936918,17.667647925680537,1.46,bk054769,bk,G,g
20,661426517954,2458527.8642914,2.9989084007506928,0.02248984021829285,15.207657620317603,0.008151458874844314,18.77267468656589,1.47,bs135317,bs,B,g
21,661426517954,2458530.7984892,3.255230550623558,0.03549898125233007,15.118611240392056,0.011853491968464094,18.277100886750922,1.49,bk180998,bk,G,g
22,661426517954,2459262.0518467,2.936883883944783,0.029617161979896698,15.230348682055354,0.010961470947299526,18.473782010037404,1.43,bC211711,bC,G,g
23,661426517954,2459220.8992961,3.1196735361997647,0.029109233891033953,15.164792750092861,0.010142238043033172,18.492563672327698,1.47,bC200648,bC,G,g
24,661426517954,2458475.9527458,2.8564751435008127,0.09720446044417826,15.260489499118052,0.03698860200563227,17.183425126548112,1.73,bC007881,bC,G,g
25,661426517954,2458823.0309653,2.841183051854073,0.046276381828721735,15.266317583866208,0.01770403881523744,17.989242121938243,1.39,bC094673,bC,B,g
26,661426517954,2458914.4209565,2.376361496527393,0.18647124117521388,15.460284354736181,0.08529263414189162,16.476110957568228,1.57,bo205388,bo,B,g
27,661426517954,2458574.8413844,2.8403583671808414,0.03475902661704385,15.266632776504082,0.013301684430827436,18.299971596255908,1.57,bs147326,bs,G,g
28,661426517954,2459274.7684722,3.3153064923897784,0.16804848457773455,15.09875641199837,0.055096383003937016,16.58905411030162,1.47,bk359491,bk,G,g
29,661426517954,2458135.7072951,3.2964252410460113,0.04312859376329735,15.104957544993097,0.014221134361165785,18.06572736665675,1.45,bk039536,bk,G,g
