,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
92,295116400011641,99239422,2458746.8999793855,58746.3942245,17.668758,0.026125599,0,zg,5.9869538,-14.4233087,1.016,0.033,20190920394225,295,16,4,19.96,26.024904,0.03665903,-0.012587546,6.4812244e-05,30.0,1.632,1
93,295116400011641,99531863,2458749.824391205,58749.3186343,17.836693,0.02877933,0,zg,5.9870086,-14.4232964,2.051,0.156,20190923318634,295,16,4,21.37,26.034616,0.031910904,-0.06700514,2.9476741e-05,30.0,1.587,1
94,295116400011641,100635375,2458760.8593882527,58760.35375,17.805523,0.028254777,0,zg,5.9869882,-14.4232867,1.541,0.088,20191004353750,295,16,4,20.92,26.057268,0.03645911,-0.044561442,4.1029572e-05,30.0,1.624,1
95,295116400011641,101037907,2458764.884619772,58764.3790741,17.92345,0.03032144,0,zg,5.9870042,-14.423275,2.818,0.315,20191008379074,295,16,4,21.3,25.993742,0.03247999,-0.04235294,3.087004e-05,30.0,1.815,1
96,295116400011641,102823061,2458782.7354462827,58782.2306134,17.777254,0.027792048,0,zg,5.9869847,-14.4233118,2.35,0.135,20191026230602,295,16,4,20.89,26.091074,0.03657453,-0.058949415,4.217801e-05,30.0,1.583,1
97,295116400011641,103131791,2458785.8225788125,58785.3179167,17.7157,0.026825791,0,zg,5.9869559,-14.4232774,1.513,-0.027,20191029317917,295,16,4,20.43,26.005066,0.041505218,-0.0414511,6.4943e-05,30.0,1.787,1
98,295116400011641,103518944,2458789.6938741542,58789.1894444,17.832222,0.028703146,0,zg,5.9869792,-14.4232495,2.896,0.267,20191102189444,295,16,4,20.94,26.051207,0.036975455,-0.038265724,4.0289262e-05,30.0,1.645,1
99,295116400011641,103819041,2458792.6946530063,58792.1904167,17.805918,0.028261343,0,zg,5.9869529,-14.4232747,2.407,0.26,20191105190417,295,16,4,20.55,25.978672,0.035728153,-0.042302433,4.477114e-05,30.0,1.614,1
100,295116400011641,104318825,2458797.6921421993,58797.1882523,17.9379,0.030590458,0,zg,5.9869522,-14.4233137,0.939,0.201,20191110187951,295,16,4,19.55,26.038313,0.045902874,-0.04345479,0.00016325965,30.0,1.585,1
101,295116400011641,104618950,2458800.693170529,58800.1895023,17.839867,0.028833587,0,zg,5.9870138,-14.4232886,1.227,0.164,20191113189502,295,16,4,19.91,26.051844,0.039907258,-0.018318,7.844614e-05,30.0,1.571,1
