,level_0,name,converted_flux,converted_flux_err,converted_date,converted_wave,converted_freq,converted_flux_unit,converted_date_unit,converted_wave_unit,converted_freq_unit,filter_name,obs_type,upperlimit,reference,human_readable_refs,telescope,index
0,2,SDSS_J0748,0.84091944,0.0,49794.0,214137470.0,1.4,mJy,MJD,nm,GHz,L,radio,True,private,private,,
1,0,SDSS_J0748,0.13030000000000003,0.013500000000000002,57458.9162,59970485.697139435,4.999,mJy,MJD,nm,GHz,C,radio,False,private,private,,3.0
2,2,SDSS_J0748,0.09540000000000001,0.0092,57458.9162,42230237.77996901,7.099,mJy,MJD,nm,GHz,C,radio,False,private,private,,4.0
3,0,SDSS_J0748,0.0716,0.020600000000000004,57914.71674,59970485.697139435,4.999,mJy,MJD,nm,GHz,C,radio,False,private,private,,12.0
4,2,SDSS_J0748,0.0468,0.015700000000000002,57914.71674,42230237.77996901,7.099,mJy,MJD,nm,GHz,C,radio,False,private,private,,13.0
5,0,SDSS_J0748,0.19340000000000002,0.07390000000000001,57914.71674,238878452.58964145,1.255,mJy,MJD,nm,GHz,L,radio,False,private,private,,6.0
6,2,SDSS_J0748,0.1977,0.06609999999999999,57914.71674,182355509.7323601,1.644,mJy,MJD,nm,GHz,L,radio,False,private,private,,7.0
7,0,SDSS_J0748,0.1148,0.03660000000000001,57914.71674,115349156.59869179,2.599,mJy,MJD,nm,GHz,S,radio,False,private,private,,9.0
8,2,SDSS_J0748,0.096,0.0299,57914.71674,88200193.5863489,3.399000000000001,mJy,MJD,nm,GHz,S,radio,False,private,private,,10.0
9,0,SDSS_J0748,0.06540000000000001,0.0187,57914.71674,35067546.84758451,8.549000000000001,mJy,MJD,nm,GHz,X,radio,False,private,private,,15.0
10,2,SDSS_J0748,0.036000000000000004,0.010900000000000002,57914.71674,27256337.66706064,10.999,mJy,MJD,nm,GHz,X,radio,False,private,private,,16.0
11,0,SDSS_J0748,0.4095781613,0.0,58619.75666,99930819.33333333,3.0,mJy,MJD,nm,GHz,S,radio,True,private,private,,
12,1,SDSS_J0748,0.3272557804,0.0,59542.41444,99930819.33333333,3.0,mJy,MJD,nm,GHz,S,radio,True,private,private,,
