,asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
0,661435348848,2458036.7018268,0.5606252006749095,0.04953333164512674,17.028384082674176,0.09603667086374586,17.915396761684264,2.13,bs003937,bs,G,g
1,661435348848,2459191.6164333,0.6326543930667393,0.03762982651268139,16.897149302110947,0.06465138911246963,18.213810071273592,1.46,bs299973,bs,G,g
2,661435348848,2458077.3067423,0.5904161616469765,0.03810794008777361,16.972170029639948,0.0701567414633486,18.200101927040734,2.44,bo003996,bo,B,g
3,661435348848,2458690.9163144,0.5468755288490837,0.05154134346019497,17.055344396418246,0.10244232271858632,17.872251275083027,1.44,bs174611,bs,G,g
4,661435348848,2458789.7484894,0.6417992080831157,0.031245100022479173,16.881567680074017,0.05291696345849488,18.415685813246206,1.40,bC084276,bC,G,g
5,661435348848,2458080.520143,0.4714634355756455,0.04134515718552062,17.216445580783873,0.09532104688088902,18.111578993031305,1.58,bk022776,bk,G,g
6,661435348848,2459077.8958388,0.6569768208900623,0.03340616352581858,16.856190504079585,0.05526990626774124,18.343074104720166,1.43,bC156975,bC,G,g
7,661435348848,2458660.8246832,0.6408553621697735,0.05639587835251048,16.88316556603421,0.09565320256808359,17.774522198743142,1.44,bk230608,bk,G,g
8,661435348848,2458087.3267841,0.7067985370312373,0.066495983289548,16.776826517506954,0.10226144922373553,17.595652080435183,2.38,bo006824,bo,G,g
9,661435348848,2458829.2859974,0.5350890627014739,0.10419063818036223,17.07900043722625,0.21164830598955692,17.108068866079122,1.74,bo186843,bo,G,g
10,661435348848,2458762.7952301,0.5660473800460677,0.04878177075617,17.017933660780816,0.09367354347808632,17.93199670905041,1.43,bC076762,bC,G,g
11,661435348848,2458288.902894,0.8246613986307813,0.029356827568594746,16.609376456639527,0.038694178284852374,18.483367806552028,1.46,bk095372,bk,G,g
12,661435348848,2458824.6380808,0.49548227066073247,0.09191443205075206,17.16249532433074,0.20163585515640298,17.244181341466877,1.43,bs210666,bs,G,g
13,661435348848,2458818.267983,0.6494955212646535,0.07968399640193245,16.868625220660128,0.13335432921642149,17.399212843467126,1.62,bo184485,bo,G,g
14,661435348848,2458753.3717431,0.5441315891878187,0.054194832645937545,17.060805774013858,0.10825952390852533,17.81774591263955,1.45,bo169171,bo,G,g
15,661435348848,2458853.5871875,0.6261018029561997,0.08299514560643081,16.908453236270958,0.14408537775111582,17.355008883453635,1.51,bs221131,bs,G,g
16,661435348848,2458798.7164283,0.2741742307332443,0.10409572023035277,17.10905842547924,99.999,17.10905842547924,1.42,bC087573,bC,G,g
17,661435348848,2459088.3175694,0.5430564038075918,0.0674933317697762,17.06295327395359,0.13509152387613463,17.579488443018118,1.56,bo239685,bo,G,g
18,661435348848,2459110.2406291,0.6630938902281769,0.037850862399652345,16.846128056469986,0.06204587667757745,18.207451163995717,1.55,bo243741,bo,G,g
