,asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
0,266289198403,2459185.8635291,0.8025106986757994,0.0688579228720761,16.638938544995277,0.0932642623490425,17.557755816711417,1.60,bt298426,bt,B,g
1,266289198403,2458174.7380014,0.8685071054868281,0.029118726435956303,16.553132182592435,0.03644275263189582,18.49220967058246,1.50,bl051577,bl,G,g
2,266289198403,2458873.9165905,0.8361013507503685,0.023916451465519788,16.594418309654372,0.031092095323101185,18.705898754178293,1.50,bD106728,bD,G,g
3,266289198403,2459172.8514869,0.8664051436161394,0.04342510531829649,16.555763067493817,0.054479364279771,18.05828841042042,1.47,bH180059,bH,G,g
4,266289198403,2458907.5204248,0.8025601047993138,0.03327924701864184,16.638871704308954,0.045072131506618575,18.347206883151802,1.48,bl312232,bl,G,g
5,266289198403,2458529.5870594,0.8602492271167463,0.06741772981911713,16.563504894519394,0.08518477994260493,17.580705300740625,1.42,bl180466,bl,G,g
6,266289198403,2458241.2988707,1.0995160573076213,0.08832763623412478,16.297061681857457,0.08731868863250478,17.287399090716505,1.55,bp046546,bp,B,g
7,266289198403,2458400.6181969,1.0064376388545553,0.03714837302808987,16.39309844679978,0.04012038578051987,18.22779111669838,1.48,bp081317,bp,G,g
8,266289198403,2458484.4925785,1.026513868708722,0.024513618090602384,16.371653569084916,0.025957016137074032,18.679122072110584,1.54,bp100439,bp,G,g
9,266289198403,2458268.2174733,0.8165780288154971,0.10405745345949789,16.620071396186937,0.13851208786187308,17.109457627838616,1.61,bp052947,bp,G,g
10,266289198403,2459245.7429377,0.9504717627669371,0.08263146557771768,16.455217574556492,0.09449708442583839,17.35977697242076,1.48,bl349622,bl,G,g
11,266289198403,2458075.937875,0.9588791619602615,0.018352834081944637,16.445655920310852,0.020804219644302416,18.99338276543355,1.59,bt016504,bt,G,g
12,266289198403,2459250.2938151,1.0701020795074352,0.02278777228610314,16.32650260224623,0.02314668682233312,18.758385933982836,1.57,bp275717,bp,G,g
13,266289198403,2458472.690163,0.7498318521864947,0.14077207417404777,16.712655909985795,0.2040632491885249,16.78134933726414,1.50,bl161259,bl,G,g
14,266289198403,2458870.615255,0.8041251209628721,0.041544410577101246,16.636756547936113,0.056156643837362824,18.106359107255617,1.41,bH156511,bH,B,g
15,266289198403,2459235.391723,0.9629997681292486,0.029318889977937176,16.44100016589405,0.033092799942807095,18.48477180204319,1.47,bp271782,bp,G,g
16,266289198403,2458524.4168089,0.8424161919936445,0.027128141558288715,16.586248857815896,0.03500301949284792,18.569090503984885,1.48,bp109426,bp,G,g
17,266289198403,2458147.6704773,0.7358240508158498,0.07877951332081018,16.733130675076453,0.1163728009278123,17.41160737763242,1.67,bl043863,bl,G,g
18,266289198403,2458867.963869,0.8982199728861874,0.024424296368257804,16.51660885268599,0.02955639935400442,18.683085458641678,1.50,bD104115,bD,G,g
19,266289198403,2458871.6033733,0.845220351990491,0.041173336822212796,16.582640757665096,0.05294906455490742,18.11610044876083,1.52,bl301438,bl,B,g
20,266289198403,2458139.7846356,0.8774053664285713,0.02519137311128768,16.54206490645802,0.03120784114454929,18.64951101064026,1.59,bt038370,bt,G,g
