,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
127,PTF10iya,"['PTF 10iya', 'PTF10iya']",219d40m15s,37d39m33.6s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012MNRAS.420.2684C', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2023PASP..135c4101G', '2013A&A...552A...5V', '2020SSRv..216...81A']",2010-06-11 00:00:00.000,0.22405,True,False,/home/nfranz/radio-ecle/.otter/PTF10iya.json
128,SRGE J144738.4+671821,['SRGE J144738.4+671821'],221d54m45.9756s,67d18m18.3384s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-11-19 00:00:00.000,0.125,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J144738.4+671821.json
129,2021jsg,"['ZTF21aaeoitd', '2021jsg', 'AT2021jsg']",167d09m10.72044s,30d45m40.58424s,"['2021TNSCR1221....1Y', '2024MNRAS.527.2452M', '2021TNSTR1202....1H', '2024arXiv240712097A']",59221.47831,0.126,True,False,/home/nfranz/radio-ecle/.otter/AT2021jsg.json
130,SRGE J021939.9+361819,['SRGE J021939.9+361819'],34d54m58.5504s,36d18m18.1944s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-08-07 00:00:00.000,0.3879,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J021939.9+361819.json
131,SDSSJ1350,"['SDSS_J1350', 'SDSS J1350', 'SDSSJ1350']",207d30m22.419s,29d16m09.646s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012ApJ...749..115W', '2017ApJ...835...64G', '2013ApJ...774...46Y', '2023PASP..135c4101G', '2024arXiv240216951C', '15B-247', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE', '2024MNRAS.528.7076C']",2006-04-23 00:00:00.000,0.0777,True,False,/home/nfranz/radio-ecle/.otter/SDSSJ1350.json
132,SRGE J095928.6+643023,['SRGE J095928.6+643023'],149d52m07.176s,64d30m21.7908s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-10-28 00:00:00.000,0.454,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J095928.6+643023.json
133,2020acka,"['ATLAS21cuo', 'ZTF20acwytxn', '2020acka', 'AT2020acka']",238d45m29.21868s,16d18m16.33932s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2020TNSTR3744....1M', '2024arXiv240712097A', '2021TNSCR.262....1H', ' 2023TNSCR2004....1Y']",59194.55357640046,0.338,True,False,/home/nfranz/radio-ecle/.otter/AT2020acka.json
134,SDSSJ0952,"['SDSS_J0952', 'SDSSJ0952', 'SDSS J0952']",148d02m23.4s,21d43m13.24s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2008ApJ...678L..13K', '2017ApJ...835...64G', '2023PASP..135c4101G', '2024arXiv240216951C', '15B-247', '17A-368', 'VLASS 1.2', 'VLASS 2.2', 'VLASS 3.2', 'WISE', '2024MNRAS.528.7076C']",2008-02-05 00:00:00.000,0.0789,True,False,/home/nfranz/radio-ecle/.otter/SDSSJ0952.json
135,CXOU J0332,"['CXOU J033238.8-275134', 'CXOU J0332']",53d09m42s,-27d51m34s,"['2017arXiv170204422B', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017MNRAS.467.4841B', '2023PASP..135c4101G']",2014-10-01 00:00:00.000,2.23,False,False,/home/nfranz/radio-ecle/.otter/CXOU-J0332.json
136,2021axu,"['2021axu', 'ZTF21aaaokyp', 'ATLAS21bsh', 'PS21csc', 'AT2021axu']",176d39m05.52672s,30d05m07.63584s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR.218....1T', '2024arXiv240712097A', '2021TNSCR.955....1H', ' 2023TNSCR2004....1Y']",59231.512,0.19,True,False,/home/nfranz/radio-ecle/.otter/AT2021axu.json
137,2022pna,"['Gaia22dgl', '2022pna', 'ZTF22aavvqyh', 'ATLAS22wax', 'AT2022pna']",25d28m53.256s,-3d17m22.5204s,"['2022TNSCR2892....1Y', '2024MNRAS.527.2452M', '2022TNSTR2086....1T']",59784.5985,0.095,True,False,/home/nfranz/radio-ecle/.otter/AT2022pna.json
138,J155223,['J155223'],238d05m49.35s,32d34m55.1s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-05-31 00:00:00.000,0.1277,True,False,/home/nfranz/radio-ecle/.otter/J155223.json
139,D23H-1,"['GALEX-D23H-1', 'D23H-1']",352d59m53.016s,0d17m14.568s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2009ApJ...698.1367G', '2017ApJ...835...64G', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023PASP..135c4101G', '2013A&A...552A...5V', '2020SSRv..216...81A']",2007-09-04 00:00:00.000,0.1855,True,False,/home/nfranz/radio-ecle/.otter/D23H-1.json
140,2022adm,"['ZTF22aaaekqh', 'Gaia22anq', '2022adm', 'AT2022adm']",216d57m51.5988s,28d10m29.0316s,"['2022TNSTR.156....1M', '2024arXiv240712097A', '2022TNSCR.402....1T']",59600.494108796294,0.061,True,False,/home/nfranz/radio-ecle/.otter/AT2022adm.json
141,AT2021qth,['AT2021qth'],302d54m43.71s,-21d09m36.83s,"['2021TNSTR2141....1F', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE', '2023ApJ...955L...6Y']",2459382.9156134,0.0805,True,False,/home/nfranz/radio-ecle/.otter/AT2021qth.json
142,2020yue,"['2020yue', 'ZTF20acnznms', 'AT2020yue']",165d00m05.05152s,21d06m45.95292s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2020TNSTR3341....1N', '2022TNSCR.662....1K', ' 2023TNSCR2004....1Y']",59156.49736,0.204,True,False,/home/nfranz/radio-ecle/.otter/AT2020yue.json
143,2021uqv,"['2021uqv', 'ATLAS21beiz', 'ZTF21abqhkjd', 'Gaia21drx', 'AT2021uqv']",8d09m58.15332s,22d32m56.15448s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR2648....1M', '2024arXiv240712097A', '2021TNSCR3411....1Y', ' 2023TNSCR2004....1Y']",59424.43628469908,0.106,True,False,/home/nfranz/radio-ecle/.otter/AT2021uqv.json
144,AT2018dyb,"['ASASSN-18pg', 'AT2018dyb']",242d44m43.1592s,-60d55m24.3876s,"['2019ApJ...887..218L', '2024MNRAS.527.2452M', '2018TNSTR.982....1B', '2020ApJ...898..161H', '2020SSRv..216...81A', '2023arXiv230813595C', '2024arXiv240712097A']",,0.018,True,False,/home/nfranz/radio-ecle/.otter/AT2018dyb.json
145,2019gte,"['ZTF19aavxfib', '2019gte', 'ATLAS19omw', 'AT2019gte']",196d39m51.36408s,-1d32m54.41928s,"['2019TNSTR.922....1N', '2024arXiv240712097A', '2019TNSCR.975....1S']",58634.25278935185,0.086,True,False,/home/nfranz/radio-ecle/.otter/AT2019gte.json
146,2018bsi,"['ZTF18aahqkbt', '2018bsi', 'AT2018bsi']",123d51m39.5091144s,45d35m32.011782s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2018TNSTR.652....1F', '2020TNSCR2260....1D']",58217.21199074074,0.051,True,False,/home/nfranz/radio-ecle/.otter/AT2018bsi.json
147,SRGE J161001.2+330121,['SRGE J161001.2+330121'],242d30m21.312s,33d01m20.6976s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-08-14 00:00:00.000,0.1309,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J161001.2+330121.json
148,2020ddv,"['ZTF20aamqmfk', '2020ddv', 'ATLAS20gee', 'AT2020ddv']",149d38m21.2473464s,46d54m40.4297676s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2020TNSTR.605....1T']",58900.44699074074,0.16,True,False,/home/nfranz/radio-ecle/.otter/AT2020ddv.json
149,WTP15acbgpn,['WTP15acbgpn'],166d15m28.9944s,59d41m04.6536s,"['2021ApJS..252...32J', '2022ApJS..258...21W', '2024ApJ...961..211M']",,0.03369,True,False,/home/nfranz/radio-ecle/.otter/WTP15acbgpn.json
150,FIRST J153350.8+272729,['FIRST J153350.8+272729'],233d27m43.2s,27d27m29.618s,['2022ApJ...925..220R'],1995-04-16 00:00:00.000,0.03243,True,False,/home/nfranz/radio-ecle/.otter/FIRST-J153350.8+272729.json
151,PS1-10jh,['PS1-10jh'],242d22m04.14181604s,53d40m23.99117015s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015ApJ...815L...5G', '2012Natur.485..217G', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023PASP..135c4101G', '2013A&A...552A...5V', '2020SSRv..216...81A']",2010-05-16 00:00:00.000,0.1696,True,False,/home/nfranz/radio-ecle/.otter/PS1-10jh.json
152,2021nwa,"['ZTF21abcgnqn', '2021nwa', 'ATLAS21sjl', 'AT2021nwa']",238d27m49.0435596s,55d35m19.82688s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR1845....1D', '2021TNSCR2155....1Y', ' 2023TNSCR2004....1Y']",59345.38744,0.047,True,False,/home/nfranz/radio-ecle/.otter/AT2021nwa.json
153,2021yzv,"['ZTF21abxngcz', '2021yzv', 'AT2021yzv']",105d16m39.05724s,40d49m30.55908s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR3208....1F', '2024arXiv240712097A', '2022TNSCR.363....1C', ' 2023TNSCR2004....1Y']",59442.501,0.286,True,False,/home/nfranz/radio-ecle/.otter/AT2021yzv.json
154,ASASSN-20il,"['AT 2020pom', 'ASASSN-20il']",75d47m49.5s,-22d48m52.1s,"['ASAS-SN Supernovae', '2014ApJ...788...48S', '2020TNSTR.189....1B', '2023PASP..135c4101G']",2020-07-08 00:00:00.000,0.015841,False,False,/home/nfranz/radio-ecle/.otter/ASASSN-20il.json
155,J141036,['J141036'],212d39m12.15s,26d54m25s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-04-24 00:00:00.000,0.1071,True,False,/home/nfranz/radio-ecle/.otter/J141036.json
156,2023cvb,"['ZTF23aadcbay', '2023cvb', 'ATLAS23dht', 'AT2023cvb']",288d36m25.2108s,41d40m09.3036s,"['2023TNSAN.102....1Y', '2024MNRAS.527.2452M', '2023TNSTR.494....1T', '2023TNSCR.962....1Y']",60009.61634,0.071,True,False,/home/nfranz/radio-ecle/.otter/AT2023cvb.json
157,2020neh,"['ZTF20abgwfek', 'PS20elo', 'ATLAS20qkz', 'Gaia20cxg', 'AT2020neh', '2020neh']",230d20m01.2355548s,14d04m10.5269304s,"['2022NatAs...6.1452A', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2020TNSTR1886....1N', '2023arXiv230813595C', '2024arXiv240712097A', '2023ApJS..266....9A', '2020TNSCR2126....1D']",59019.25472,0.062,True,False,/home/nfranz/radio-ecle/.otter/AT2020neh.json
158,2019cho,"['2019cho', 'ZTF19aakiwze', 'AT2019cho']",193d47m18.1464s,49d31m09.9264s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2019TNSTR.444....1N']",58526.51965277778,0.193,True,False,/home/nfranz/radio-ecle/.otter/AT2019cho.json
159,3XMM J150052.0+015452,"['XJ1500+0154', '3XMM J150052.0+015452']",225d13m00s,1d54m52s,"['2017NatAs...1E..33L', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2023PASP..135c4101G']",2005-07-23 00:00:00.000,0.145,False,False,/home/nfranz/radio-ecle/.otter/XJ1500+0154.json
160,2021zlg,"['2021zlg', 'Gaia21egv', 'PS1-10adi']",310d41m11.1s,15d30m32.1s,"['2017arXiv171104577K', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017NatAs...1..865K', '2023PASP..135c4101G', '2021TNSTR3297....1H']",2010-08-15 00:00:00.000,0.203,True,False,/home/nfranz/radio-ecle/.otter/PS1-10adi.json
161,PS1-13jw,['PS1-13jw'],131d13m23.4s,42d57m44.8s,"['2017arXiv171104577K', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017NatAs...1..865K', '2023PASP..135c4101G']",2013-02-06 00:00:00.000,0.345,False,False,/home/nfranz/radio-ecle/.otter/PS1-13jw.json
162,LEDA 095953,['LEDA 095953'],206d52m34.95s,-32d54m50.63s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2009A&A...495L...9C', '2017ApJ...835...64G', '2023PASP..135c4101G']",1991-07-06 00:00:00.000,0.0366,True,False,/home/nfranz/radio-ecle/.otter/LEDA-095953.json
163,SRGE J071310.6+725627,['SRGE J071310.6+725627'],108d17m37.806s,72d56m26.7036s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-10-11 00:00:00.000,0.104,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J071310.6+725627.json
164,WTP16aaqrcr,['WTP16aaqrcr'],280d49m46.4628s,-62d06m43.3728s,['2024ApJ...961..211M'],,0.01509,True,False,/home/nfranz/radio-ecle/.otter/WTP16aaqrcr.json
165,2020abri,"['ZTF20acvezvs', '2020abri', 'ATLAS20biig', 'AT2020abri']",202d19m19.12728s,19d40m15.5082s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2020TNSTR3666....1F', '2023TNSCR2004....1Y']",59184.529050902776,0.178,True,False,/home/nfranz/radio-ecle/.otter/AT2020abri.json
166,Gaia 16aax,['Gaia 16aax'],218d34m30s,12d49m37s,"['2017IAUS..324..127W', '2020MNRAS.493..477C', '2023PASP..135c4101G']",2016-01-26 00:00:00.000,0.248,False,False,/home/nfranz/radio-ecle/.otter/Gaia-16aax.json
167,XMMSL1 J131952.3+225958,['XMMSL1 J131952.3+225958'],199d58m00s,22d59m58s,"['2020ApJ...891..121L', '2023PASP..135c4101G']",2005-07-15 00:00:00.000,0.023,False,False,/home/nfranz/radio-ecle/.otter/XMMSL1-J131952.3+225958.json
168,PS1-11af,['PS1-11af'],149d21m42.3s,3d14m00.924s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014ApJ...780...44C', '2013arXiv1309.3009C', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2023PASP..135c4101G', '2020SSRv..216...81A']",2010-12-30 00:00:00.000,0.4046,True,False,/home/nfranz/radio-ecle/.otter/PS1-11af.json
169,iPTF-15af,"['iPTF15af', 'iPTF-15af']",132d07m02.052984s,22d03m33.4962216s,"['2019ApJ...873...92B', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023arXiv230813595C']",,0.07897,True,False,/home/nfranz/radio-ecle/.otter/iPTF-15af.json
170,3XMM J152130.7+074916,['3XMM J152130.7+074916'],230d22m41.25s,7d49m16.7s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015ApJ...811...43L', '2011ApJ...737..103S', '2017ApJ...835...64G', '2021SSRv..217...18S', '2023PASP..135c4101G']",2000-08-23 00:00:00.000,0.17901,True,False,/home/nfranz/radio-ecle/.otter/3XMM-J152130.7+074916.json
171,D1-9,"['D1-9', 'GALEX-D1-9']",36d19m14.54865206s,-4d32m59.13393086s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2008ApJ...676..944G', '2017ApJ...835...64G', '2006ApJ...653L..25G', '2024MNRAS.527.2452M', '2023PASP..135c4101G', '2013A&A...552A...5V', '2020SSRv..216...81A']",2004-06-22 00:00:00.000,0.326,True,False,/home/nfranz/radio-ecle/.otter/D1-9.json
172,NGC 5905,"['NGC5905', 'NGC 5905']",228d50m49.8s,55d31m01.59s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '1996A&A...309L..35B', '2017ApJ...835...64G', '2023PASP..135c4101G', '2002RvMA...15...27K', '2013ApJ...763...84B', '2020SSRv..216...81A']",1990-07-11 00:00:00.000,0.01124,True,False,/home/nfranz/radio-ecle/.otter/NGC-5905.json
173,2018lna,"['ZTF19aabbnzo', '2018lna', 'AT2018lna']",105d49m39.7344s,23d01m44.6988s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2019TNSTR.250....1F', '2023arXiv230813595C', '2024arXiv240712097A', '2020TNSCR2246....1D']",58480.28498842593,0.091,True,False,/home/nfranz/radio-ecle/.otter/AT2018lna.json
174,NGC 3599,['NGC 3599'],168d51m44.25s,18d06m37.33s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2007A&A...462L..49E', '2017ApJ...835...64G', '2017IAUS..324..123S', '2023PASP..135c4101G']",2002-05-27 00:00:00.000,0.002699,True,False,/home/nfranz/radio-ecle/.otter/NGC-3599.json
175,SDSSJ1342,"['SDSS_J1342', 'SDSS J1342', 'SDSSJ1342', 'J134244']",205d41m06.15s,5d30m56.2s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012ApJ...749..115W', '2017ApJ...835...64G', '2018arXiv180205105W', '2011ApJ...737..103S', '2018MNRAS.477.2943W', '2023PASP..135c4101G', '2013ApJ...774...46Y', '2024arXiv240216951C', '15B-247', 'VLASS 1.2', 'VLASS 2.2', 'WISE', '2024MNRAS.528.7076C']",2009-05-17 00:00:00.000,0.0365,True,False,/home/nfranz/radio-ecle/.otter/SDSSJ1342.json
176,2022agi,"['2022agi', 'Gaia22ahd', 'F01004-2237', 'SSS:010250.0-222157', 'CSS:010250.0-222157']",15d42m30.105s,-22d21m57.22s,"['2017NatAs...1E..61T', '2016A&A...594A..13P', '2011ApJ...737..103S', 'MAST', '2017ApJ...835...64G', '2023PASP..135c4101G', '2022TNSTR.188....1H']",2010-06-25 00:00:00.000,0.117835,True,False,/home/nfranz/radio-ecle/.otter/F01004-2237.json
177,J091225,['J091225'],138d06m15.15s,6d10m14.8s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-02-09 00:00:00.000,0.1453,True,False,/home/nfranz/radio-ecle/.otter/J091225.json
178,WTP17aaldjb,['WTP17aaldjb'],197d03m53.8704s,4d29m09.2616s,"['2021ApJS..252...32J', '2022ApJS..258...21W', '2024ApJ...961..211M']",,0.04832,True,False,/home/nfranz/radio-ecle/.otter/WTP17aaldjb.json
179,SDSS_J1241,['SDSS_J1241'],190d23m33.8415s,44d26m39.2636s,"['2024arXiv240216951C', '15B-247', '17A-368', '17A-369', '17A-371', '17A-372', '17A-374', '17A-375', '17A-377', '17A-378', '19A-422', '20A-128', '21A-146', 'VLASS 1.2', 'VLASS 2.2', 'WISE', '2024MNRAS.528.7076C']",2004-02-27 00:00:00.000,0.0419,True,False,/home/nfranz/radio-ecle/.otter/SDSS_J1241.json
180,SDSS_J0938,['SDSS_J0938'],144d30m24.564s,13d53m17.0423s,"['2024arXiv240216951C', '15B-247', '17A-368', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE', '2024MNRAS.528.7076C']",2006-12-23 00:00:00.000,0.101,True,False,/home/nfranz/radio-ecle/.otter/SDSS_J0938.json
181,2021jjm,"['PS21fhy', '2021jjm', 'ATLAS21mwd', 'ZTF21aauuybx', 'AT2021jjm']",219d52m39.99s,-27d51m30.65688s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR1158....1M', '2024arXiv240712097A', '2021TNSCR1632....1Y']",59312.41996530093,0.153,True,False,/home/nfranz/radio-ecle/.otter/AT2021jjm.json
182,SDSS_J1715,['SDSS_J1715'],258d46m04.3395s,56d47m15.8404s,"['2024arXiv240216951C', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE']",2000-09-01 00:00:00.000,0.191,True,False,/home/nfranz/radio-ecle/.otter/SDSS_J1715.json
183,2023rvb,"['ZTF23abaujuy', 'ATLAS23spi', '2023rvb', 'AT2023rvb']",290d18m08.23752s,-22d38m39.60132s,"['2023TNSAN.326....1H', '2024MNRAS.527.2452M', '2023TNSTR2204....1M', '2023TNSCR3112....1H']",60191.168287002314,0.0815,True,False,/home/nfranz/radio-ecle/.otter/AT2023rvb.json
184,SDSS_J1459,['SDSS_J1459'],224d51m31.014s,40d45m38.5508s,"['2024arXiv240216951C', 'VLASS 1.2', 'VLASS 2.2', 'WISE']",2004-05-21 00:00:00.000,0.151,True,False,/home/nfranz/radio-ecle/.otter/SDSS_J1459.json
185,2021ack,"['2021ack', 'ATLAS21blz', 'ZTF20acyydkh', 'AT2021ack']",208d17m29.8266s,9d44m25.34712s,"['2021TNSCR.732....1H', '2024MNRAS.527.2452M', '2021TNSTR.114....1T', '2024arXiv240712097A']",59226.62,0.133,True,False,/home/nfranz/radio-ecle/.otter/AT2021ack.json
186,AT2021acak,['AT2021acak'],158d41m59.85s,15d29m22.42s,"['2023RAA....23b5012L', 'VLASS 1.1', 'VLASS 2.1', 'VLASS 3.1', 'WISE']",2459510.12,0.136,True,False,/home/nfranz/radio-ecle/.otter/AT2021acak.json
187,2020riz,"['PS20jop', '2020riz', 'ZTF20abrnwfc', 'AT2020riz']",32d37m41.3256s,9d04m26.7744s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2020TNSTR2500....1P']",59061.46774305555,0.434,True,False,/home/nfranz/radio-ecle/.otter/AT2020riz.json
188,2020ysg,"['ATLAS20bjqp', '2020ysg', 'PS21cru', 'ZTF20abnorit', 'AT2020ysg']",171d21m30.384s,27d26m26.1564s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2020TNSTR3332....1N']",59150.51602,0.277,True,False,/home/nfranz/radio-ecle/.otter/AT2020ysg.json
189,ASASSN-15lh,['ASASSN-15lh'],330d33m52.35s,-61d39m33.6s,"['2017ApJ...838..149A', '2016Sci...351..257D', '2016arXiv160902927L', '2016A&A...594A..13P', '2015arXiv150703010D', '2015ATel.7642....1N', '2014Ap&SS.354...89B', '2011ApJ...737..103S', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2012PASP..124..668Y', '2024MNRAS.527.2452M', '2018A&A...610A..14K', '2023PASP..135c4101G']",2015-06-14 00:00:00.000,0.2326,True,False,/home/nfranz/radio-ecle/.otter/ASASSN-15lh.json
190,2019mha,"['2019mha', 'ATLAS19qqu', 'ZTF19abhejal', 'AT2019mha']",244d06m56.7960408s,56d25m56.353224s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2019TNSTR1392....1T']",58694.32399305556,0.148,True,False,/home/nfranz/radio-ecle/.otter/AT2019mha.json
191,2019teq,"['2019teq', 'ZTF19accmaxo', 'AT2019teq']",284d46m22.3788s,47d31m05.6136s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2019TNSTR2172....1N', '2023arXiv230813595C', '2020TNSCR2829....1H']",58776.11638888889,0.0874,True,False,/home/nfranz/radio-ecle/.otter/AT2019teq.json
192,2022lri,"['ATLAS22pnz', 'ZTF22abajudi', '2022lri', 'PS22hiq', 'AT2022lri']",35d02m00.1788s,-22d43m15.2472s,"['2022TNSAN.223....1Y', '2024MNRAS.527.2452M', '2022TNSTR1521....1T', '2022TNSCR3103....1Y']",59731.15674,0.0328,True,False,/home/nfranz/radio-ecle/.otter/AT2022lri.json
193,2018dyk,"['ZTF18aajupnt', '2018dyk', 'WTP18aamced', 'AT2018dyk']",233d17m00.3012s,44d32m07.9188s,"['2018ATel11953....1A', '2019ApJ...883...31F', '2024ApJ...961..211M', 'TNS', '2018TNSTR.987....1F', '2018TNSCR1182....1H', ' 2020TNSCR1834....1F', 'VLASS 1.2', 'VLASS 2.2', 'WISE']",2458269.81,0.03672,True,False,/home/nfranz/radio-ecle/.otter/AT2018dyk.json
194,WTP18aajkmk,['WTP18aajkmk'],40d05m56.9148s,-2d43m41.9304s,['2024ApJ...961..211M'],,0.0287,True,False,/home/nfranz/radio-ecle/.otter/WTP18aajkmk.json
195,2MASX J01190869-3411305,['2MASX J01190869-3411305'],19d47m00s,-34d11m30s,"['2019Natur.573..381M', '2023PASP..135c4101G']",2010-07-14 00:00:00.000,0.018,False,False,/home/nfranz/radio-ecle/.otter/2MASX-J01190869-3411305.json
196,SDSSJ1201,"['SDSSJ1201+30', 'SDSSJ1201', 'SDSS J1201+30']",180d24m00.45s,30d03m05.52s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012A&A...541A.106S', '2017ApJ...835...64G', '2017IAUS..324..123S', '2023PASP..135c4101G', '2020SSRv..216...81A']",2010-06-10 00:00:00.000,0.146,True,False,/home/nfranz/radio-ecle/.otter/SDSSJ1201.json
197,2018fyk,"['2018fyk', 'ASASSN-18ul', 'Gaia18cyc', 'AT2018fyk', 'AT 2018fyk']",342d34m01.3730556s,-44d51m53.50214628s,"['2019MNRAS.488.4816W', '2024MNRAS.527.2452M', '2020MNRAS.497L...1W', '2018ATel12040....1W', '2020ApJ...893L...1W', '2021ApJ...912..151W', '2023PASP..135c4101G', '2018TNSTR1325....1S', '2020SSRv..216...81A', '2023arXiv230813595C', '2024arXiv240712097A', '2018TNSCR1397....1W']",2018-09-08 00:00:00.000,0.059,True,False,/home/nfranz/radio-ecle/.otter/AT2018fyk.json
198,ASASSN-14li,['ASASSN-14li'],192d03m48.3795s,17d46m26.475s,"['2016ApJ...819L..25A', '2016Sci...351...62V', '2016ApJ...832L..10R', '2018MNRAS.475.4011B', '2017ApJ...838..149A', '2016MNRAS.455.2918H', '2016arXiv160103331C', '2016A&A...594A..13P', '2015Natur.526..542M', '2015arXiv150701598H', '2014ATel.6777....1J', '2011ApJ...737..103S', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2012PASP..124..668Y', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023PASP..135c4101G', '2024arXiv240712097A']",56983.0,0.0206,True,False,/home/nfranz/radio-ecle/.otter/ASASSN-14li.json
199,SRGE J091747.6+524821,['SRGE J091747.6+524821'],139d26m50.9712s,52d48m20.286s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-10-28 00:00:00.000,0.1876,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J091747.6+524821.json
200,XMMSL2 J144605.0+685735,"['XMMSL2_J1446+68', 'XMMSL2 J144605.0+685735']",221d31m15s,68d57m31s,"['2019A&A...630A..98S', '2023PASP..135c4101G', '2020SSRv..216...81A']",2006-08-22 00:00:00.000,0.029,True,False,/home/nfranz/radio-ecle/.otter/XMMSL2-J144605.0+685735.json
201,XMMSL1 J063045.9-603110,['XMMSL1 J063045.9-603110'],97d41m30s,-60d31m10s,"['2011ATel.3811....1R', '2016A&A...592A..41M', '2017AJ....153..144O', '2023PASP..135c4101G']",2011-12-01 00:00:00.000,0.014,False,False,/home/nfranz/radio-ecle/.otter/XMMSL1-J063045.9-603110.json
202,PGC 1185375,['PGC 1185375'],225d57m36s,1d07m37.2s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2010-02-03 00:00:00.000,0.00523,True,False,/home/nfranz/radio-ecle/.otter/PGC-1185375.json
203,WTP15acbuuv,['WTP15acbuuv'],154d40m21.3096s,-13d00m06.7824s,['2024ApJ...961..211M'],,0.03059,True,False,/home/nfranz/radio-ecle/.otter/WTP15acbuuv.json
