,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
70,2020wey,"['Gaia20fck', '2020wey', 'ZTF20acitpfz', 'ATLAS20belb', 'AT2020wey']",136d21m28.6488s,61d48m09.1368s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2020TNSTR3103....1N', '2020TNSCR3228....1A']",59130.49269,0.02741,True,False,/home/nfranz/radio-ecle/.otter/AT2020wey.json
71,ASASSN-20jr,"['ASASSN-20jr', 'AT 2020ral']",229d19m25.2s,54d45m45.6s,['ASAS-SN Supernovae'],2020-08-10 05:45:36.000,,False,False,/home/nfranz/radio-ecle/.otter/ASASSN-20jr.json
72,2023mfm,"['2023mfm', 'PS23fqo', 'ZTF23aapyidj', 'AT2023mfm']",324d21m59.3676s,-4d20m43.0152s,"['2023TNSAN.250....1C', '2024MNRAS.527.2452M', '2023TNSTR1546....1F', '2023TNSCR2308....1C']",60123.399,0.087,True,False,/home/nfranz/radio-ecle/.otter/AT2023mfm.json
73,2019lwu,"['ATLAS19rnz', 'ZTF19abidbya', '2019lwu', 'PS19ega', 'AT2019lwu']",347d48m04.581036s,-1d00m10.8162072s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2019TNSTR1352....1F', '2024arXiv240712097A', '2020TNSCR2246....1D']",58688.41799768519,0.117,True,False,/home/nfranz/radio-ecle/.otter/AT2019lwu.json
74,2020pj,"['ATLAS20cab', 'ZTF20aabqihu', '2020pj', 'AT2020pj']",232d53m44.5139376s,33d05m41.6801292s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2020TNSTR..79....1N', '2024arXiv240712097A', '2020TNSCR2829....1H']",58850.50952546296,0.068,True,False,/home/nfranz/radio-ecle/.otter/AT2020pj.json
75,DES14C1kia,"['DES 14C1kia', 'DES14C1kia']",53d41m52.35s,-26d19m35s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015ATel.6877....1F', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2023PASP..135c4101G', '2023arXiv230813595C']",2014-11-11 00:00:00.000,0.162,True,False,/home/nfranz/radio-ecle/.otter/DES14C1kia.json
76,2018iih,"['2018iih', 'ATLAS18yzs', 'ZTF18acaqdaa', 'Gaia18dpo', 'AT2018iih']",262d00m58.8518604s,30d41m31.5128184s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2018TNSTR1750....1T', '2024arXiv240712097A', '2020TNSCR2246....1D']",58431.19599537037,0.212,True,False,/home/nfranz/radio-ecle/.otter/AT2018iih.json
77,PTF09axc,"['PTF-09axc', 'PTF 09axc', 'PTF09axc']",223d18m15.9s,22d14m32.2s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014ApJ...793...38A', '2011ApJ...737..103S', '2010ApJ...721..777A', '2017ApJ...835...64G', '2012PASP..124..668Y', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023PASP..135c4101G', '2020SSRv..216...81A']",2009-06-20 00:00:00.000,0.1146,True,False,/home/nfranz/radio-ecle/.otter/PTF09axc.json
78,SRGE J171423.6+085236,['SRGE J171423.6+085236'],258d35m54.2148s,8d52m36.9048s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-09-18 00:00:00.000,0.036,False,False,/home/nfranz/radio-ecle/.otter/SRGE-J171423.6+085236.json
79,2022wtn,"['PS22jwq', 'ZTF22abkfhua', '2022wtn', 'ATLAS22bikj', 'AT2022wtn']",350d50m56.7672s,10d41m07.8108s,"['2022TNSTR2885....1F', '2024MNRAS.527.2452M', '2022TNSCR3389....1F']",59854.255,0.0491,True,False,/home/nfranz/radio-ecle/.otter/AT2022wtn.json
80,XMMSL1 J061927.1-655311,['XMMSL1 J061927.1-655311'],94d51m45s,-65d53m07s,"['2014A&A...572A...1S', '2023PASP..135c4101G']",2012-11-12 00:00:00.000,0.0729,False,False,/home/nfranz/radio-ecle/.otter/XMMSL1-J061927.1-655311.json
